index,ingredient,spicy,sweet,umami,sour,salty
577,Apple Sauce,0,0.8,0,0.3,0
578,Plum Sauce,0,0.7,0.1,0.4,0.2
579,Duck Sauce,0,0.8,0.2,0.3,0.2
580,Sweet and Sour Sauce,0,0.7,0.1,0.6,0.3
581,General Tso Sauce,0.4,0.6,0.4,0.2,0.4
582,Orange Chicken Sauce,0.2,0.7,0.3,0.5,0.3
583,Kung Pao Sauce,0.6,0.4,0.5,0.2,0.4
584,Black Bean Sauce,0.1,0.2,0.8,0.1,0.7
585,Satay Sauce,0.3,0.4,0.5,0.1,0.3
586,Peanut Sauce,0.2,0.3,0.4,0.2,0.3
587,Curry Sauce,0.6,0.2,0.4,0.1,0.3
588,Tikka Masala Sauce,0.4,0.3,0.5,0.2,0.3
589,Korma Sauce,0.2,0.4,0.4,0.1,0.2
590,Vindaloo Sauce,0.9,0.2,0.4,0.4,0.3
591,Madras Sauce,0.7,0.2,0.4,0.2,0.3
592,Jalfrezi Sauce,0.6,0.2,0.4,0.3,0.3
593,Rogan Josh Sauce,0.5,0.2,0.5,0.1,0.3
594,Butter Chicken Sauce,0.2,0.4,0.5,0.1,0.3
595,Saag Sauce,0.3,0.1,0.4,0.1,0.3
596,Daal Sauce,0.2,0.1,0.4,0.1,0.3
597,Biryani Sauce,0.4,0.2,0.5,0.1,0.3
598,Rendang Sauce,0.5,0.3,0.6,0.2,0.3
599,Massaman Sauce,0.3,0.5,0.5,0.2,0.3
600,Panang Sauce,0.5,0.3,0.5,0.1,0.4
601,Green Curry Paste,0.7,0.1,0.3,0.2,0.4
602,Red Curry Paste,0.8,0.1,0.3,0.1,0.4
603,Yellow Curry Paste,0.5,0.2,0.3,0.1,0.3
604,Massaman Curry Paste,0.4,0.3,0.4,0.1,0.3
605,Panang Curry Paste,0.6,0.2,0.4,0.1,0.4
606,Tom Yum Paste,0.4,0.1,0.4,0.7,0.4
607,Laksa Paste,0.6,0.2,0.5,0.2,0.4
608,Nam Prik Pao,0.7,0.3,0.5,0.1,0.4
609,Fish Paste,0,0,0.9,0.1,0.8
610,Shrimp Paste,0,0.1,0.95,0.1,0.8
611,Anchovy Paste,0,0,0.9,0.1,0.9
612,Tomato Ketchup,0,0.7,0.4,0.4,0.5
613,Banana Ketchup,0,0.8,0.2,0.2,0.4
614,Mushroom Ketchup,0,0.2,0.9,0.1,0.6
615,Fruit Ketchup,0,0.8,0.2,0.4,0.3
616,HP Sauce,0,0.4,0.4,0.5,0.5
617,A1 Sauce,0,0.4,0.6,0.4,0.6
618,Maggi Seasoning,0,0.1,0.7,0.1,0.8
619,Kitchen Bouquet,0,0.1,0.6,0,0.4
620,Gravy Master,0,0.2,0.7,0,0.5
621,Beef Gravy,0,0.2,0.8,0,0.6
622,Chicken Gravy,0,0.2,0.7,0,0.6
623,Turkey Gravy,0,0.2,0.7,0,0.6
624,Mushroom Gravy,0,0.1,0.8,0,0.5
625,Onion Gravy,0,0.3,0.7,0,0.6
626,Sausage Gravy,0.1,0.2,0.7,0,0.7
627,Brown Gravy,0,0.2,0.7,0,0.6
628,White Gravy,0,0.2,0.5,0,0.6
629,Red Eye Gravy,0,0.1,0.6,0.1,0.7
630,Sawmill Gravy,0,0.2,0.6,0,0.7
631,Hollandaise Sauce,0,0.1,0.3,0.3,0.3
632,Béarnaise Sauce,0.1,0.1,0.3,0.3,0.3
633,Mornay Sauce,0,0.1,0.6,0,0.5
634,Béchamel Sauce,0,0.2,0.3,0,0.3
635,Velouté Sauce,0,0.1,0.6,0,0.5
636,Espagnole Sauce,0,0.2,0.8,0,0.5
637,Demi-Glace,0,0.2,0.9,0,0.5
638,Bordelaise Sauce,0,0.2,0.8,0.1,0.5
639,Chasseur Sauce,0,0.2,0.8,0.1,0.5
640,Diane Sauce,0.1,0.2,0.8,0.1,0.5
641,Choron Sauce,0,0.2,0.4,0.2,0.3
642,Maltaise Sauce,0,0.3,0.3,0.4,0.3
643,Mousseline Sauce,0,0.2,0.3,0.2,0.3
644,Sauce Gribiche,0,0.1,0.2,0.5,0.4
645,Sauce Ravigote,0,0.1,0.2,0.4,0.4
646,Sauce Verte,0,0.1,0.2,0.3,0.3
647,Remoulade Sauce,0.1,0.1,0.2,0.3,0.4
648,Rouille,0.6,0,0.2,0.2,0.3
649,Skordalia,0.2,0,0.2,0.3,0.3
650,Tarator,0,0.1,0.2,0.4,0.3
651,Amba,0.3,0.3,0.2,0.5,0.4
652,Schug,0.8,0,0.1,0.4,0.3
653,Zhoug,0.8,0,0.1,0.4,0.3
654,Chermoula,0.3,0,0.2,0.4,0.3
655,Dukkah,0.2,0,0.3,0,0.4
656,Muhammara,0.4,0.3,0.3,0.2,0.3
657,Baba Ganoush,0.1,0.1,0.4,0.3,0.3
658,Labneh,0,0.1,0.3,0.5,0.4
659,Zhug,0.8,0,0.1,0.4,0.3
660,Toum,0.3,0,0.1,0.2,0.2
661,Persillade,0.1,0,0.1,0.1,0.2
662,Gremolata,0.1,0,0.1,0.3,0.1
663,Salsa Macha,0.7,0.1,0.3,0.1,0.3
664,Salsa Matcha,0.1,0,0.4,0,0
665,Adzhika,0.8,0,0.2,0.3,0.5
666,Ajvar,0.2,0.3,0.3,0.2,0.3
667,Lutenica,0.3,0.3,0.3,0.2,0.3
668,Pindjur,0.2,0.3,0.3,0.2,0.3
669,Chrain,0.7,0.1,0,0.3,0.2
670,Prepared Horseradish,0.8,0,0,0.2,0.2
671,Horseradish Cream,0.4,0.2,0.2,0.2,0.2
672,Béarnaise Butter,0.1,0.1,0.4,0.2,0.4
673,Maitre d'Hotel Butter,0,0,0.2,0.2,0.4
674,Garlic Butter,0.2,0.1,0.4,0,0.4
675,Herb Butter,0,0.1,0.2,0.1,0.4
676,Compound Butter,0,0.1,0.3,0.1,0.4
677,Brown Butter,0,0.2,0.4,0,0.2
678,Clarified Butter,0,0.1,0.3,0,0.1
679,Anchovy Butter,0,0,0.8,0.1,0.8
680,Shrimp Butter,0,0.1,0.7,0,0.5
681,Snail Butter,0.1,0,0.4,0,0.5
682,Café de Paris Butter,0.1,0.1,0.3,0.1,0.5
683,Escargot Butter,0.1,0,0.4,0,0.5
684,Beurre Blanc,0,0.1,0.2,0.3,0.3
685,Beurre Rouge,0,0.2,0.3,0.3,0.3
686,Beurre Noisette,0,0.2,0.4,0,0.2
687,Beurre Monté,0,0.1,0.3,0.1,0.3
688,Pistou,0,0,0.4,0.1,0.3
689,Tapenade,0,0,0.6,0.2,0.8
690,Anchoïade,0,0,0.9,0.2,0.9
691,Brandade,0,0.1,0.7,0.1,0.6
692,Rouille de Poulpe,0.5,0,0.5,0.2,0.4
693,Sofrito,0,0.2,0.4,0.1,0.2
694,Sofregit,0,0.3,0.4,0.1,0.2
695,Recaito,0.1,0.1,0.3,0.2,0.2
696,Mirepoix,0,0.2,0.3,0,0.1
697,Trinity,0,0.2,0.3,0,0.1
698,Battuto,0,0.2,0.3,0,0.1
699,Soffrito,0,0.2,0.4,0.1,0.2
700,Refogado,0.1,0.2,0.4,0.1,0.2
701,Sambar Powder,0.5,0,0.3,0.3,0.2
702,Rasam Powder,0.5,0,0.3,0.4,0.2
703,Goda Masala,0.4,0.2,0.3,0.1,0.2
704,Panch Phoron,0.3,0.1,0.2,0,0.1
705,Chat Masala,0.3,0,0.2,0.6,0.4
706,Amchur Powder,0,0.1,0.1,0.9,0.1
707,Asafoetida,0.1,0,0.4,0,0.1
708,Mango Powder,0,0.3,0.1,0.7,0.1
709,Kokum,0,0.1,0.2,0.9,0.1
710,Tamarind Concentrate,0,0.5,0.2,0.9,0.2
711,Black Salt,0.1,0,0.2,0.2,0.9
712,Pink Salt,0,0,0,0,0.95
713,Himalayan Salt,0,0,0,0,0.95
714,Sea Salt,0,0,0,0,1
715,Kosher Salt,0,0,0,0,1
716,Fleur de Sel,0,0,0.1,0,1
717,Maldon Salt,0,0,0.1,0,1
718,Smoked Salt,0,0,0.3,0,0.9
719,Flavored Salt,0,0.1,0.2,0,0.9
720,Celery Salt,0.1,0,0.3,0,0.9
721,Garlic Salt,0.2,0,0.4,0,0.9
722,Onion Salt,0.1,0.1,0.4,0,0.9
723,Seasoned Salt,0.1,0.1,0.3,0,0.9
724,Lemon Salt,0,0.1,0,0.5,0.9
725,Lime Salt,0,0.1,0,0.5,0.9
726,Chili Lime Salt,0.5,0.1,0,0.5,0.9
727,Truffle Salt,0,0,0.8,0,0.9
728,Herb Salt,0,0,0.2,0,0.9
729,Seaweed Salt,0,0,0.7,0,0.9
730,Bacon Salt,0,0.2,0.7,0,0.9
731,Pickled Salt,0,0.1,0.1,0.5,0.9
732,Rock Salt,0,0,0,0,1
733,Table Salt,0,0,0,0,1
734,Iodized Salt,0,0,0,0,1
735,Curing Salt,0,0,0,0,1
736,Pickling Salt,0,0,0,0,1
737,Coarse Salt,0,0,0,0,1
738,Fine Salt,0,0,0,0,1
739,Popcorn Salt,0,0,0.1,0,1
740,Pretzel Salt,0,0,0,0,1
741,Hawaiian Black Salt,0,0,0.1,0,0.95
742,Red Hawaiian Salt,0,0,0.1,0,0.95
743,Sel Gris,0,0,0.1,0,1
744,Black Lava Salt,0,0,0.1,0,0.95
745,Cyprus Black Salt,0,0,0.2,0,0.95
746,Kala Namak,0.1,0,0.2,0.2,0.9
747,Bamboo Salt,0,0,0.1,0,0.95
748,Danish Smoked Salt,0,0,0.4,0,0.9
749,Alder Smoked Salt,0,0,0.3,0,0.9
750,Applewood Smoked Salt,0,0.1,0.3,0,0.9
751,Cherry Smoked Salt,0,0.1,0.3,0,0.9
752,Hickory Smoked Salt,0,0,0.4,0,0.9
753,Mesquite Smoked Salt,0,0,0.4,0,0.9
754,Vanilla Sugar,0,0.9,0,0,0
755,Cinnamon Sugar,0.1,0.9,0,0,0
756,Lemon Sugar,0,0.9,0,0.3,0
757,Lavender Sugar,0,0.9,0,0,0
758,Rose Sugar,0,0.9,0,0,0
759,Cardamom Sugar,0.2,0.9,0,0,0
760,Ginger Sugar,0.4,0.9,0,0,0
761,Orange Sugar,0,0.9,0,0.3,0
762,Mint Sugar,0,0.9,0,0,0
763,Chai Sugar,0.3,0.9,0,0,0
764,Pumpkin Spice Sugar,0.2,0.9,0,0,0
765,Apple Pie Spice,0.2,0.4,0,0,0
766,Pumpkin Pie Spice,0.2,0.4,0,0,0
767,Gingerbread Spice,0.3,0.4,0,0,0
768,Speculoos Spice,0.3,0.4,0,0,0
769,Mulling Spice,0.3,0.4,0,0,0
770,Pickling Spice,0.3,0.1,0.1,0.5,0.2
771,Crab Boil,0.4,0,0.2,0.1,0.7
772,Shrimp Boil,0.4,0,0.2,0.1,0.7
773,Fish Fry Seasoning,0.3,0,0.2,0.1,0.6
774,Blackening Seasoning,0.7,0,0.2,0,0.6
775,Jerk Seasoning,0.8,0.2,0.2,0.1,0.4
776,Adobo Seasoning,0.3,0,0.3,0.1,0.7
777,Sazon Seasoning,0.2,0,0.3,0,0.6
778,Recado Rojo,0.4,0.1,0.2,0.2,0.2
779,Recado Negro,0.3,0.2,0.3,0.1,0.2
780,Baharat,0.5,0.3,0.2,0,0.1
781,Hawaij,0.4,0.2,0.2,0,0.1
782,Advieh,0.3,0.4,0.2,0,0.1
783,Duqqa,0.2,0.1,0.3,0,0.4
784,Chermoula Spice,0.3,0.1,0.2,0.2,0.2
785,Harissa Spice,0.8,0.1,0.2,0.2,0.3
786,Merguez Spice,0.6,0.1,0.2,0,0.3
787,Ras el Hanout Spice,0.4,0.3,0.2,0,0.1
788,Tandoori Masala,0.6,0.1,0.3,0.1,0.3
789,Biryani Masala,0.5,0.2,0.3,0,0.2
790,Chana Masala,0.5,0.1,0.3,0.3,0.3
791,Chole Masala,0.5,0.1,0.3,0.3,0.3
792,Pav Bhaji Masala,0.5,0.1,0.3,0.1,0.3
793,Kitchen King Masala,0.4,0.2,0.3,0.1,0.2
794,Meat Masala,0.5,0.1,0.4,0.1,0.3
795,Fish Masala,0.5,0.1,0.3,0.2,0.4
796,Sambar Masala,0.5,0,0.3,0.3,0.2
797,Rasam Masala,0.5,0,0.3,0.4,0.2
798,Garam Masala Sweet,0.4,0.3,0.2,0,0.1
799,Madras Curry Powder,0.6,0.1,0.3,0.1,0.2
800,Vindaloo Paste,0.9,0.2,0.4,0.4,0.3
801,Korma Paste,0.2,0.4,0.4,0.1,0.2
802,Tikka Paste,0.4,0.2,0.4,0.2,0.3
803,Butter Chicken Paste,0.2,0.4,0.5,0.1,0.3
804,Rogan Josh Paste,0.5,0.2,0.5,0.1,0.3
805,Jalfrezi Paste,0.6,0.2,0.4,0.3,0.3
806,Madras Paste,0.7,0.2,0.4,0.2,0.3
807,Balti Paste,0.5,0.2,0.4,0.2,0.3
808,Dopiaza Paste,0.4,0.3,0.4,0.1,0.3
809,Pathia Paste,0.6,0.3,0.4,0.4,0.3
810,Dhansak Paste,0.5,0.3,0.4,0.3,0.3
811,Coconut Curry Paste,0.4,0.3,0.4,0.1,0.3
812,Laksa Curry Paste,0.6,0.2,0.5,0.2,0.4
813,Rendang Paste,0.5,0.3,0.6,0.2,0.3
814,Satay Paste,0.3,0.3,0.5,0.1,0.3
815,Tom Kha Paste,0.3,0.2,0.4,0.5,0.3
816,Pad Thai Sauce,0.2,0.5,0.4,0.5,0.4
817,Pad See Ew Sauce,0.1,0.4,0.6,0.1,0.5
818,Drunken Noodle Sauce,0.6,0.3,0.5,0.2,0.5
819,Larb Sauce,0.4,0.2,0.4,0.6,0.5
820,Nam Jim Sauce,0.5,0.3,0.3,0.6,0.4
821,Nuoc Cham,0.3,0.3,0.4,0.7,0.5
822,Nuoc Mam,0,0.1,0.95,0.2,0.9
823,Vietnamese Fish Sauce,0,0.1,0.95,0.2,0.9
824,Patis,0,0.1,0.9,0.2,0.9
825,Bagoong,0.1,0.1,0.95,0.1,0.9
826,Kecap Manis,0,0.8,0.6,0,0.5
827,Kecap Asin,0,0.1,0.7,0,0.9
828,ABC Sweet Soy Sauce,0,0.8,0.6,0,0.5
829,Maggi Sauce,0,0.1,0.7,0,0.8
830,Golden Mountain Sauce,0,0.2,0.7,0,0.7
831,Healthy Boy Sauce,0,0.3,0.6,0,0.6
832,Thin Soy Sauce,0,0.1,0.8,0.1,0.9
833,Thick Soy Sauce,0,0.3,0.8,0,0.7
834,Dark Soy Sauce,0,0.2,0.9,0,0.8
835,Light Soy Sauce,0,0.1,0.9,0.1,0.9
836,Mushroom Soy Sauce,0,0.2,0.95,0,0.8
837,Shrimp Soy Sauce,0,0.1,0.9,0,0.9
838,Double Black Soy Sauce,0,0.3,0.9,0,0.8
839,White Soy Sauce,0,0.1,0.7,0,0.8
840,Usukuchi Soy Sauce,0,0.1,0.8,0,0.9
841,Koikuchi Soy Sauce,0,0.1,0.9,0.1,0.9
842,Saishikomi Soy Sauce,0,0.2,0.9,0.1,0.8
843,Shiro Soy Sauce,0,0.2,0.7,0,0.7
844,Reduced Sodium Soy Sauce,0,0.1,0.8,0.1,0.6
845,Gluten-Free Soy Sauce,0,0.1,0.8,0.1,0.8
846,Low Sodium Tamari,0,0.1,0.85,0.1,0.6
847,San-J Tamari,0,0.1,0.9,0.1,0.9
848,Bragg Liquid Aminos,0,0.1,0.8,0,0.8
849,Coconut Aminos Sauce,0,0.4,0.6,0,0.6
850,Soy-Free Aminos,0,0.2,0.7,0,0.7
851,Tonkatsu Sauce,0,0.6,0.5,0.3,0.4
852,Okonomiyaki Sauce,0,0.6,0.5,0.2,0.4
853,Yakisoba Sauce,0,0.5,0.6,0.2,0.5
854,Takoyaki Sauce,0,0.6,0.5,0.2,0.4
855,Unagi Sauce,0,0.7,0.7,0.1,0.5
856,Eel Sauce,0,0.7,0.7,0.1,0.5
857,Kabayaki Sauce,0,0.7,0.7,0.1,0.5
858,Mentsuyu,0,0.3,0.8,0.1,0.6
859,Tsuyu,0,0.3,0.8,0.1,0.6
860,Soba Tsuyu,0,0.3,0.8,0.1,0.6
861,Udon Sauce,0,0.3,0.7,0.1,0.6
862,Tempura Sauce,0,0.3,0.6,0.1,0.5
863,Katsu Sauce,0,0.6,0.5,0.3,0.4
864,Bull-Dog Sauce,0,0.6,0.5,0.3,0.4
865,Japanese BBQ Sauce,0,0.6,0.6,0.2,0.5
866,Yakiniku Sauce,0,0.5,0.7,0.1,0.5
867,Tare Sauce,0,0.4,0.8,0.1,0.6
868,Shoyu Tare,0,0.2,0.9,0.1,0.7
869,Shio Tare,0,0.1,0.6,0,0.9
870,Miso Tare,0,0.2,0.9,0.1,0.7
871,Tonkotsu Base,0,0.2,0.8,0,0.5
872,Shoyu Ramen Base,0,0.2,0.9,0.1,0.7
873,Miso Ramen Base,0,0.2,0.9,0.1,0.7
874,Shio Ramen Base,0,0.1,0.6,0,0.9
875,Tantanmen Base,0.6,0.3,0.7,0.2,0.5
876,Curry Ramen Base,0.5,0.2,0.7,0.1,0.5
877,Tsukemen Dipping Sauce,0,0.3,0.9,0.1,0.6
878,Mazemen Sauce,0,0.3,0.8,0.1,0.6
879,Aburasoba Sauce,0,0.3,0.8,0.1,0.7
880,Karashi Mustard,0.6,0,0.1,0.2,0.2
881,Yuzu Kosho,0.7,0.1,0.2,0.7,0.4
882,Shichimi,0.7,0.1,0.4,0,0.4
883,Rayu,0.8,0,0.2,0,0.3
884,Mayu,0,0.1,0.6,0,0.3
885,Negi Oil,0.2,0,0.3,0,0.2
886,Sesame Paste,0,0.1,0.4,0,0.2
887,Japanese Sesame Dressing,0,0.3,0.4,0.3,0.3
888,Goma Dare,0,0.2,0.5,0.2,0.4
889,Wafu Dressing,0,0.2,0.4,0.4,0.4
890,Carrot Ginger Dressing,0.3,0.3,0.2,0.3,0.3
891,Miso Dressing,0,0.2,0.7,0.1,0.6
892,Ponzu Dressing,0,0.2,0.5,0.7,0.6
893,Yuzu Dressing,0,0.3,0.2,0.8,0.3
894,Sesame Ginger Dressing,0.3,0.3,0.4,0.2,0.3
895,Asian Vinaigrette,0,0.2,0.3,0.5,0.4
896,Chinese Chicken Salad Dressing,0,0.4,0.3,0.3,0.3
897,Peanut Dressing,0.2,0.3,0.4,0.2,0.3
898,Thai Peanut Dressing,0.3,0.4,0.4,0.3,0.3
899,Vietnamese Dressing,0.2,0.3,0.3,0.6,0.4
900,Korean BBQ Sauce,0.3,0.5,0.7,0.1,0.5
901,Gochugaru Flakes,0.7,0,0.1,0,0.1
902,Doenjang,0,0.1,0.9,0.1,0.8
903,Ssamjang,0.3,0.3,0.8,0.1,0.6
904,Chogochujang,0.5,0.4,0.5,0.3,0.4
905,Yangnyeom Sauce,0.5,0.5,0.5,0.2,0.4
906,Bulgogi Marinade,0.2,0.5,0.7,0.1,0.5
907,Galbi Marinade,0.2,0.5,0.7,0.1,0.5
908,Korean Chili Paste,0.7,0.3,0.6,0.1,0.5
909,Korean Soybean Paste,0,0.1,0.9,0.1,0.8
910,Perilla Oil,0,0.1,0.2,0,0
911,Sesame Perilla Oil,0,0.1,0.3,0,0.1
912,Korean Sesame Oil,0,0.1,0.3,0,0
913,Black Sesame Oil,0,0.1,0.4,0,0
914,Toasted Sesame Oil,0,0.1,0.4,0,0
915,Korean Fish Sauce,0,0.1,0.9,0.2,0.9
916,Korean Soy Sauce,0,0.1,0.9,0.1,0.9
917,Joseon Ganjang,0,0.1,0.9,0.1,0.9
918,Yangjo Ganjang,0,0.2,0.8,0.1,0.8
919,Jin Ganjang,0,0.1,0.9,0.1,0.9
920,Guk Ganjang,0,0.1,0.8,0.1,0.9
921,Mat Ganjang,0,0.2,0.8,0.1,0.8
922,Anchovy Stock,0,0.1,0.9,0.1,0.6
923,Korean Anchovy Sauce,0,0.1,0.9,0.1,0.7
924,Myeolchi Aekjeot,0,0.1,0.9,0.1,0.8
925,Saeujeot,0,0.1,0.95,0.1,0.9
926,Kkanpunggi Sauce,0.6,0.4,0.6,0.2,0.5
927,Jjajang Sauce,0,0.3,0.7,0,0.6
928,Jjamppong Sauce,0.6,0.2,0.7,0.2,0.5
929,Tangsuyuk Sauce,0,0.7,0.3,0.6,0.3
930,Dakgangjeong Sauce,0.4,0.6,0.5,0.2,0.4
931,Buldak Sauce,0.9,0.3,0.5,0.1,0.4
932,Tteokbokki Sauce,0.6,0.4,0.6,0.1,0.4
933,Rabokki Sauce,0.5,0.3,0.7,0.1,0.5
934,Japchae Sauce,0,0.3,0.7,0,0.5
935,Bibimbap Sauce,0.4,0.3,0.6,0.1,0.5
936,Naengmyeon Sauce,0.2,0.2,0.5,0.5,0.4
937,Kongguksu Sauce,0,0.2,0.6,0,0.3
938,Kimchi Jjigae Base,0.5,0.1,0.7,0.5,0.6
939,Soondubu Base,0.5,0.1,0.6,0.1,0.5
940,Doenjang Jjigae Base,0.1,0.1,0.9,0.1,0.7
941,Gamjatang Base,0.4,0.1,0.8,0.1,0.6
942,Budae Jjigae Base,0.3,0.2,0.7,0.1,0.7
943,Kimchi Base,0.6,0.1,0.5,0.7,0.6
944,White Kimchi Brine,0.1,0.1,0.3,0.4,0.6
945,Water Kimchi Brine,0.1,0.2,0.3,0.5,0.5
946,Kkakdugi Brine,0.5,0.1,0.4,0.6,0.6
947,Nabak Kimchi Brine,0.2,0.2,0.3,0.5,0.5
948,Dongchimi Brine,0.1,0.2,0.3,0.5,0.5
949,Bossam Kimchi Brine,0.3,0.1,0.5,0.5,0.6
950,Chonggak Kimchi Brine,0.5,0.1,0.4,0.6,0.6
951,Pa Kimchi Brine,0.4,0.1,0.4,0.6,0.6
952,Mustard Kimchi Brine,0.5,0,0.4,0.7,0.6
953,Perilla Kimchi Brine,0.4,0.1,0.5,0.6,0.6
954,Sesame Leaf Kimchi Brine,0.3,0.1,0.5,0.5,0.6
955,Green Onion Kimchi Brine,0.4,0.1,0.4,0.6,0.6
956,Young Radish Kimchi Brine,0.4,0.1,0.4,0.6,0.6
957,Cucumber Kimchi Brine,0.4,0.1,0.3,0.6,0.6
958,Cabbage Kimchi Brine,0.5,0.1,0.4,0.7,0.6
959,Wrapped Kimchi Brine,0.4,0.1,0.5,0.6,0.6
960,Stuffed Kimchi Brine,0.4,0.2,0.5,0.6,0.6
961,Fermented Soybean Paste,0,0.1,0.9,0.1,0.8
962,Fermented Shrimp Paste,0,0.1,0.95,0.1,0.9
963,Fermented Anchovy Sauce,0,0.1,0.9,0.1,0.8
964,Fermented Fish Sauce,0,0.1,0.95,0.2,0.9
965,Fermented Black Beans,0,0.1,0.9,0.1,0.8
966,Fermented Tofu,0,0.1,0.8,0.2,0.8
967,Preserved Radish,0,0.2,0.3,0.3,0.7
968,Preserved Mustard Greens,0.3,0,0.4,0.4,0.7
969,Preserved Vegetables,0.1,0.1,0.4,0.4,0.7
970,Salted Duck Egg,0,0.1,0.6,0,0.9
971,Century Egg,0,0.1,0.7,0.1,0.5
972,Tea Egg,0,0.1,0.5,0.1,0.6
973,Soy Sauce Egg,0,0.2,0.6,0,0.7
974,Ajitsuke Tamago,0,0.2,0.6,0,0.6
975,Onsen Tamago,0,0.1,0.4,0,0.1
976,Hanjuku Tamago,0,0.1,0.4,0,0.1
977,Deviled Egg,0.1,0.1,0.3,0.2,0.4
978,Scotch Egg,0.1,0.1,0.6,0,0.5
979,Pickled Egg,0,0.1,0.3,0.7,0.6
980,Smoked Egg,0,0.1,0.5,0,0.3
981,Marinated Egg,0,0.2,0.5,0.1,0.5
982,Seasoned Egg,0.1,0.1,0.5,0,0.5
983,Ramen Egg,0,0.2,0.6,0,0.6
984,Shoyu Egg,0,0.2,0.6,0,0.7
985,Miso Egg,0,0.2,0.7,0.1,0.6
986,Curry Egg,0.4,0.2,0.5,0.1,0.4
987,Spicy Egg,0.6,0.1,0.4,0.1,0.4
988,Herb Egg,0,0.1,0.3,0.1,0.3
989,Truffle Egg,0,0.1,0.7,0,0.3
990,Caviar Topped Egg,0,0.1,0.8,0,0.7
991,Smoked Salmon Egg,0,0.1,0.7,0,0.5
992,Bacon Egg,0,0.2,0.7,0,0.7
993,Cheese Egg,0,0.1,0.6,0,0.6
994,Avocado Egg,0,0.1,0.5,0,0.2
995,Egg Salad,0,0.2,0.4,0.2,0.4
996,Egg Mayo,0,0.2,0.4,0.2,0.4
997,Egg White,0,0,0.2,0,0.1
998,Egg Yolk,0,0.1,0.5,0,0.1
999,Whole Egg,0,0.1,0.4,0,0.1
1000,Liquid Egg,0,0.1,0.4,0,0.1
